,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,B025,"Soya bean, white (Glycine max)",5.47,37.8,19.42,22.63,10.16,1579,0.61,0.23,2.28,1.97,0.45,0.77,288,,195,0.018,0.79,8.22,,189,,494,1634,2.83,3.47,7.26,0.2,0.56,1.44,2.2
C GREEN LEAFY VEGETABLES,C001,Agathi leaves (Sesbania grandiflora),74.43,8.01,1.35,8.6,5.21,295,0.26,0.33,1.18,0.53,0.22,7.75,120,3.92,901,0.007,0.25,4.36,0.013,96.64,0.41,52.52,674,18.12,0.53,3.72,0.1,0.1,0.03,0.23
,C002,"Amaranth leaves, green (Amaranthus gangeticus)",86.85±1.21,3.29±0.57,0.65±0.07,4.41±0.10,2.28±0.62,128±17,0.01±0.000,0.19±0.028,0.71±0.06,0.41±0.09,0.21±0.010,2.46±0.25,70.33±8.10,,330±74.2,0.005±0.002,0.21±0.08,4.64±0.85,0.004±0.000,194±53.2,,73.22±12.66,572±152,16.08±3.71,0.86±0.31,0.70±0.01,0.09±0.01,0.19±0.02,0.04±0.02,0.32±0.02
,C003,"Amaranth leaves, red (Amaranthus gangeticus)",85.56,3.93,0.63,4.91,2.37,140,0.01,0.269,0.62,0.37,0.22,2.95,81.95,,245,0.023,0.22,7.25,,177,,75.98,564,14.58,1.37,0.77,0.24,0.04,,0.28
,C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",86.37±0.38,3.09±0.14,0.53±0.03,4.60±0.36,2.87±0.35,132±6,0.01±0.000,0.22±0.030,0.69±0.04,0.37±0.03,0.19±0.015,2.41±0.24,69.08±6.27,,269±34.0,0.012±0.002,0.17±0.08,5.28±0.75,0.004±0.001,146±25.9,,68.23±5.66,597±118,17.55±2.59,1.03±0.31,0.95±0.04,0.03±0.02,0.12±0.10,,0.15±0.11
,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",86.46±0.48,3.54±0.31,0.36±0.02,5.10±0.32,1.61±0.40,110±5,0.01±0.000,0.13±0.011,0.63±0.02,0.33±0.02,0.22±0.051,3.07±0.09,41.44±3.48,,359±39.7,0.002±0.001,0.23±0.07,6.37±1.59,0.001±0.001,202±68.2,,72.46±21.03,569±78.0,15.66±1.50,1.57±0.50,0.69±0.02,0.01±0.01,0.13±0.02,,0.14±0.02
,C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",86.64,2.8,0.34,5.57,1.45,99,0.01,0.15,0.72,0.31,0.2,2.91,44.23,,372,0.005,0.33,4.58,0.001,187,,85.02,588,16.27,1.11,0.73,0.01,0.12,,0.13
,C007,Basella leaves (Basella alba),92.68,1.57,0.45,2.21,2.01,82,0.06,0.15,0.46,0.48,0.18,1.07,90.31,2.75,93.89,0.006,0.12,4.2,0.006,153,,37.26,337,18.74,0.39,1.67,0.01,0.01,0.01,0.02
,C008,Bathua leaves (Chenopodium album),88.77,2.5,0.44,4.01,2.56,116,0.06,0.51,0.54,0.41,0.17,1.25,42.55,0.82,211,0.001,0.1,2.66,0.001,48.41,0.18,37.55,438,10.75,0.98,1.07,0.01,0.51,,0.52
,C009,Beet greens (Beta vulgaris),86.68±1.35,2.38±0.35,0.75±0.02,3.64±0.13,3.86±1.63,145±23,0.02±0.01,0.17±0.05,0.43±0.08,0.29±0.07,0.13±0.03,4.66±0.66,11.52±1.39,3.53±1.92,151±46.9,0.004±0.001,0.14±0.01,5.80±0.57,0.011±0.006,120±7.8,0.26±0.12,36.02±4.80,530±49.0,111±34.1,0.16±0.03,2.05±0.03,0.03±0.02,0.10±0.01,,0.13±0.02
