,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,G014,"Ginger, fresh (Zinziber officinale)",81.27±0.22,2.22±0.16,0.85±0.03,5.36±0.40,8.97±0.28,230±4,0.04±0.005,0.04±0.003,0.42±0.05,0.24±0.02,0.20±0.025,1.07±0.15,10.82±1.61,,18.88±2.87,0.003±0.001,0.13±0.02,1.90±0.55,0.004±0.003,54.66±7.12,,44.36±2.16,407±49.5,10.03±1.91,0.39±0.17,3.80±0.04,1.00±0.07,0.15±0.03,0.17±0.14,1.31±0.12
,G015,Mango ginger (Curcuma amada),84.55±0.16,1.45±0.37,0.70±0.03,4.74±0.50,6.98±0.15,177±3,0.02±0.001,0.07±0.015,0.45±0.01,0.26±0.02,0.18±0.010,1.49±0.49,22.62±0.48,0.21±0.00,13.74±2.59,0.003±0.001,0.10±0.03,2.31±1.27,0.007±0.005,36.86±6.27,0.04±0.01,68.33±20.13,384±2.5,5.51±1.29,0.47±0.14,1.79±0.09,1.11±0.02,0.81±0.11,0.50±0.03,2.42±0.12
,G016,Mint leaves (Mentha spicata ),84.24±0.71,4.66±0.15,0.65±0.05,5.89±0.49,2.39±0.36,155±4,0.02±0.005,0.19±0.029,0.74±0.23,0.34±0.09,0.17±0.028,2.21±0.43,106±6.3,5.26±0.00,205±31.8,0.007±0.000,0.37±0.18,8.56±3.21,0.019±0.000,110±30.9,0.21±0.00,65.25±16.18,539±2.7,16.87±5.37,0.75±0.08,1.02±0.03,0.01±0.00,0.07±0.02,,0.08±0.02
,G017,"Onion, big (Allium cepa)",85.76±0.43,1.50±0.10,0.24±0.03,2.45±0.21,9.56±0.44,201±9,0.04±0.005,0.01±0.001,0.34±0.10,0.30±0.05,0.10±0.014,2.61±0.19,28.88±2.85,,21.03±6.68,0.002±0.001,0.11±0.09,0.43±0.11,0.003±0.002,17.96±5.17,,32.34±7.63,171±38.6,5.50±1.14,0.35±0.29,0.80±0.03,1.89±0.19,1.47±0.04,2.52±0.10,5.88±0.09
,G018,"Onion, small (Allium cepa)",84.67±0.12,1.82±0.20,0.16±0.01,1.16±0.19,11.58±0.37,237±4,0.07±0.012,0.02±0.004,0.21±0.01,0.14±0.01,0.12±0.009,2.69±0.63,29.68±1.98,0.29±0.09,19.92±4.48,0.001±0.001,0.07±0.02,0.53±0.37,,15.16±3.75,,39.65±9.90,160±34.8,4.06±0.06,0.24±0.04,0.75±0.26,1.44±0.26,1.63±0.09,2.55±1.06,5.62±1.06
G CONDIMENTS AND SPICES-DRY,G019,Asafoetida (Ferula assa-foetida),9.42±0.56,6.34±0.53,1.26±0.02,5.13±0.33,71.95±0.71,1387±9,0.82±0.037,0.01±0.006,0.43±0.05,0.14±0.03,0.02±0.003,2.27±0.34,26.28±4.12,2.13±3.13,266±41.4,0.022±0.008,0.22±0.03,15.68±4.51,0.035±0.019,96.40±17.98,,69.09±15.60,245±30.4,16.04±0.55,0.98±0.21,36.83±1.00,0.21±0.11,0.47±0.13,0.25±0.10,0.93±0.26
,G020,"Cardamom, green (Elettaria cardamomum)",11.24±0.51,8.10±0.41,2.60±0.15,23.10±0.14,47.76±0.47,1067±16,0.12±0.016,0.07±0.013,1.13±0.13,0.27±0.05,0.15±0.007,4.94±0.39,2.85±1.05,3.79±1.73,378±40.7,0.039±0.009,0.92±0.30,8.33±1.44,0.011±0.007,330±66.1,,132±14.8,1262±14.4,15.51±0.70,3.71±0.31,29.47±1.39,1.84±0.02,1.89±0.04,0.55±0.05,4.28±0.06
,G021,"Cardamom, black (Elettaria cardamomum)",6.69±0.47,6.69±0.31,2.80±0.24,23.46±0.58,52.53±1.51,1132±13,0.05±0.015,0.13±0.047,0.52±0.11,0.27±0.08,0.20±0.021,4.76±0.88,4.96±1.62,0.28±0.01,312±57.3,0.011±0.002,0.75±0.09,7.94±1.07,0.006±0.003,286±31.9,,117±18.7,1331±63.7,16.25±4.22,4.75±0.36,29.04±0.36,1.37±0.03,0.76±0.02,0.17±0.02,2.30±0.04
,G022,"Chillies, red (Capsicum annum)",14.57±0.42,12.69±0.22,6.40±0.04,31.15±0.04,29.46±0.62,990±8,0.46±0.036,0.83±0.009,6.94±0.55,0.57±0.09,0.42±0.009,0.92±0.04,51.50±2.87,,99.83±6.61,0.036±0.004,0.87±0.06,6.23±0.79,0.007±0.005,231±25.4,1.60±0.25,280±57.5,2245±145,19.45±3.60,1.66±0.12,4.75±0.22,2.68±0.33,1.82±0.33,0.20±0.02,4.70±0.38
,G023,Cloves (Syzygium aromaticum),26.49±0.68,5.86±0.21,8.41±0.15,34.52±0.48,18.73±0.39,781±6,0.53±0.122,0.22±0.022,1.15±0.12,0.36±0.03,0.03±0.003,2.41±0.23,32.81±1.90,5.08±0.92,567±70.8,0.006±0.000,0.54±0.08,9.41±2.10,0.026±0.018,334±42.2,,83.10±18.56,1434±86.6,183±23.9,1.13±0.14,8.57±0.45,1.68±0.16,0.43±0.05,,2.10±0.15
,G024,Coriander seeds (Coriandrum sativum),8.72±0.47,10.66±0.33,17.47±0.22,44.81±2.36,12.98±2.62,1125±38,0.19±0.018,0.23±0.022,1.20±0.16,0.28±0.02,0.04±0.002,1.46±0.34,22.07±4.23,,718±43.0,0.020±0.008,1.46±0.08,17.64±6.74,0.003±0.002,343±25.5,,293±54.4,1473±59.2,34.41±0.39,3.91±0.32,6.07±0.76,1.61±0.84,0.77±0.16,,2.38±0.95
,G025,Cumin seeds (Cuminum cyminum),10.59±0.51,13.91±0.50,16.64±0.15,30.35±0.71,22.62±1.05,1274±19,0.52±0.055,0.13±0.022,2.87±0.38,0.22±0.01,0.39±0.010,1.20±0.22,27.79±2.55,,878±78.0,0.026±0.015,1.14±0.04,20.58±4.24,,442±65.7,,382±6.4,1886±139,125±31.1,4.29±0.23,14.46±0.20,0.63±0.11,0.75±0.24,,1.38±0.33
,G026,Fenugreek seeds (Trigonella foenum graecum),7.82±0.37,25.41±0.24,5.72±0.02,47.55±0.54,10.57±0.57,983±10,0.28±0.029,0.14±0.026,1.19±0.10,0.27±0.03,0.77±0.128,1.54±0.29,51.11±4.69,3.48±0.70,135±17.2,0.031±0.011,1.16±0.32,8.47±1.90,0.012±0.009,167±35.6,,435±115,891±11.5,40.20±0.06,3.80±0.93,3.66±0.20,0.31±0.02,0.12±0.01,0.11±0.02,0.55±0.05
,G027,Mace (Myristica fragrans),20.06±0.70,6.24±0.27,24.41±0.20,20.31±0.23,26.51±0.81,1488±12,0.13±0.020,0.13±0.033,0.92±0.11,0.35±0.05,0.30±0.041,1.80±0.27,32.65±2.63,4.70±1.95,174±3.5,0.006±0.002,1.90±0.13,22.69±6.87,0.051±0.018,207±25.1,,110±17.7,623±25.9,27.17±6.81,1.16±0.15,22.85±1.07,0.20±0.02,0.28±0.05,0.38±0.11,0.85±0.12
,G028,Nutmeg (Myristica fragrans),15.55±0.55,6.30±0.24,36.52±0.04,11.99±0.18,27.64±0.70,1940±11,0.04±0.015,0.05±0.011,0.51±0.06,0.33±0.06,0.10±0.008,1.59±0.27,74.78±6.70,,148±12.1,0.001±0.000,1.20±0.09,2.33±0.20,0.035±0.024,212±25.0,,207±37.2,474±15.2,14.31±0.28,1.45±0.10,24.49±1.39,0.29±0.10,0.59±0.11,0.20±0.02,1.08±0.21
,G029,Omum (Trachyspermum ammi),9.71±0.18,15.89±0.61,21.11±0.08,20.58±0.04,24.53±0.68,1495±7,0.30±0.032,0.23±0.024,1.23±0.19,0.22±0.04,0.24±0.006,1.78±0.30,51.79±1.08,8.32±6.00,1034±144,0.021±0.009,1.24±0.08,13.65±2.29,0.015±0.007,273±22.3,,329±57.7,1692±246,28.58±0.29,5.67±0.46,15.75±1.05,2.07±0.13,0.47±0.28,0.22±0.06,2.76±0.37
,G030,Pippali (Piper longum),10.95±0.48,10.53±0.45,2.27±0.02,34.14±0.60,35.70±0.45,906±8,0.06±0.011,0.14±0.030,1.06±0.11,0.23±0.04,0.60±0.051,2.34±0.37,66.45±15.02,3.71±1.07,414±66.2,0.008±0.004,1.34±0.40,7.99±2.11,0.030±0.014,189±46.0,,181±6.9,1852±425,16.28±2.00,1.52±0.26,31.72±0.72,1.24±0.23,0.51±0.10,1.00±0.02,2.75±0.25
,G031,"Pepper, black (Piper nigrum)",13.18±0.40,10.12±0.40,2.74±0.02,33.16±0.29,36.22±0.45,910±8,0.06±0.012,0.09±0.013,0.85±0.02,0.30±0.03,0.27±0.013,3.49±0.38,21.89±2.08,2.01±0.35,405±40.9,0.005±0.002,1.76±0.43,11.91±3.48,0.037±0.028,196±68.8,,144±14.8,1487±178,24.08±3.85,1.24±0.43,35.35±1.12,0.09±0.04,0.23±0.05,,0.32±0.05
,G032,Poppy seeds (Papaver somniferum),4.22±0.32,20.31±0.40,30.38±1.87,26.68±3.04,12.37±1.95,1768±77,0.87±0.081,0.10±0.013,0.77±0.10,0.32±0.04,0.42±0.012,3.25±0.18,78.73±7.90,,1372±194,0.010±0.002,2.05±0.17,10.13±1.04,0.005±0.005,393±60.9,,804±139,646±55.0,25.35±2.22,6.38±0.21,10.43±0.81,0.78±0.43,0.77±0.11,0.30±0.13,1.85±0.40
,G033,Turmeric powder (Curcuma domestica),10.58±0.49,7.66±0.44,5.03±0.07,21.38±0.29,49.22±0.55,1174±7,0.06±0.004,0.01±0.000,1.55±0.10,0.13±0.02,0.13±0.006,0.76±0.14,13.86±2.38,1.84±0.52,122±20.9,0.039±0.011,0.44±0.02,46.08±1.83,0.196±0.103,260±16.2,1.93±0.52,276±33.1,2374±172,24.41±2.48,2.64±0.25,44.44±1.34,,0.49±0.22,0.75±0.42,1.23±0.35
H NUTS AND OIL SEEDS,H001,Almond (Prunus amygdalus),4.37±0.31,18.41±0.04,58.49±0.04,13.06±0.31,3.04±0.24,2549±4,0.15±0.024,0.26±0.046,3.71±0.24,0.73±0.09,0.09±0.005,2.39±0.35,36.46±5.67,,228±10.2,0.007±0.002,1.08±0.06,4.59±0.61,0.002±0.002,318±49.5,,446±23.2,699±43.4,1.50±0.51,3.50±0.10,0.01±0.01,1.20±0.22,0.76±0.02,0.27±0.01,2.23±0.21
,H002,"Arecanut, dried, brown (Areca catechu)",6.63±0.15,5.78±0.45,4.35±0.03,11.44±0.64,70.42±0.81,1467±12,0.04±0.012,0.03±0.008,0.71±0.07,0.12±0.01,0.32±0.024,1.66±0.16,7.54±0.86,,61±13.25,0.003±0.003,1.27±0.29,2.74±0.71,0.008±0.006,76.39±17.49,,105±8.3,524±43.4,12.06±1.47,0.89±0.11,66.56±2.38,0.50±0.06,0.71±0.02,0.55±0.03,1.76±0.05
,H003,"Arecanut, dried, red color (Areca catechu)",6.30±0.32,6.46±0.51,4.46±0.03,11.11±0.34,70.27±0.96,1477±9,0.03±0.007,0.24±0.025,0.80±0.02,0.08±0.01,0.21±0.034,2.94±0.17,8.57±0.46,,51±11.33,0.002±0.001,1.57±0.59,3.26±0.90,0.005±0.003,91.01±14.45,,127±3.4,617±125,17.13±2.81,1.02±0.20,67.33±2.74,0.60±0.17,0.83±0.07,0.36±0.02,1.79±0.20
,H004,"Arecanut, fresh (Areca catechu)",37.7,2.73,5.51,7.63,45,1024,0.038,0.031,0.74,0.21,0.25,1.7,26.51,,34.03,,0.71,1.04,,47.6,,90.48,329,5.53,0.56,35.38,3.24,1.06,0.43,4.72
,H005,Cashew nut (Anacardium occidentale),4.44±0.22,18.78±0.58,45.20±0.07,3.86±0.47,25.46±0.70,2438±11,0.61±0.042,0.03±0.017,1.03±0.06,1.40±0.19,0.16±0.010,2.58±0.33,25.20±5.11,,34±2.98,0.004±0.001,2.23±0.13,5.95±0.44,0.005±0.004,307±46.6,,500±35.3,635±35.2,9.00±0.19,5.34±0.27,20.11±1.08,1.97±0.05,1.05±0.04,0.10±0.02,3.11±0.08
,H006,"Coconut, kernal, dry (Cocos nucifera)",3.97±0.73,7.27±0.02,63.26±0.30,15.88±0.79,8.01±1.02,2611±9,0.04±0.005,0.04±0.015,0.71±0.11,0.21±0.01,0.15±0.008,1.01±0.07,24.27±3.16,,32±4.51,0.006±0.003,0.90±0.11,3.13±0.47,0.006±0.003,97.21±14.66,2.10±0.65,203±6.0,739±62.0,16.68±0.38,1.41±0.11,,1.37±0.04,1.00±0.03,4.57±0.28,6.93±0.30
,H007,"Coconut, kernel, fresh (Cocos nucifera)",36.14±0.36,3.84±0.04,41.38±0.42,10.42±0.28,6.30±0.43,1711±13,0.03±0.003,0.08±0.006,0.30±0.02,0.21±0.02,0.10±0.008,0.63±0.04,25.41±2.66,,8±1.42,0.004±0.002,0.36±0.19,1.30±0.51,0.002±0.000,35±11.30,,67.73±15.15,246±81.2,8.12±2.48,0.58±0.16,,1.00±0.08,0.89±0.04,4.31±0.20,6.20±0.26
,H008,"Garden cress, seeds (Lepidium sativum)",4.60±0.21,23.36±0.32,23.74±0.09,8.27±0.04,33.66±0.50,1863±3,0.52±0.023,0.15±0.004,5.67±0.06,0.28±0.03,0.05±0.008,8.66±0.62,30.92±6.34,11.01±10.33,318±54.8,0.019±0.010,0.51±0.09,17.20±5.49,0.042±0.029,307±11.9,,539±50.7,952±41.7,21.84±3.57,4.83±0.97,30.12±1.74,0.09±0.01,0.21±0.08,0.61±0.08,0.91±0.16
,H009,"Gingelly seeds, black (Sesamum indicum)",4.51±0.44,19.17±0.64,43.10±0.03,17.16±0.19,10.29±0.74,2124±8,0.34±0.027,0.10±0.009,3.12±0.26,0.49±0.07,0.64±0.034,3.06±0.39,127±11.8,,1664±329,0.035±0.013,1.76±0.24,13.90±1.60,0.034±0.017,390±53.1,,568±96.4,480±8.7,15.91±0.56,8.59±0.69,8.54±0.58,0.31±0.02,0.47±0.02,0.21±0.02,0.99±0.05
,H010,"Gingelly seeds, brown (Sesamum indicum)",3.62±0.32,21.61±0.71,43.22±0.08,17.21±0.18,9.76±1.01,2161±8,0.27±0.025,0.08±0.009,3.05±0.45,0.49±0.04,0.49±0.033,3.48±0.24,92.63±5.90,,1174±189,0.022±0.011,1.68±0.18,14.95±1.69,0.010±0.011,328±13.3,,613±86.8,491±7.5,11.94±0.17,7.84±0.93,7.92±1.06,0.50±0.02,0.21±0.03,0.68±0.03,1.39±0.04
,H011,"Gingelly seeds, white (Sesamum indicum)",3.30±0.28,21.70±0.44,43.05±0.04,16.99±0.30,10.83±0.50,2174±9,0.36±0.047,0.07±0.009,3.94±0.14,0.48±0.04,0.62±0.029,3.46±0.46,131±4.3,,1283±149,0.023±0.026,1.50±0.12,15.04±2.09,0.024±0.017,372±39.9,,754±42.6,460±38.9,15.43±0.70,7.77±0.67,7.94±0.74,0.09±0.02,0.33±0.01,0.26±0.03,0.67±0.04
,H012,Ground nut (Arachis hypogea),6.97±0.69,23.65±0.85,39.63±0.29,10.38±0.18,17.27±0.33,2176±9,0.57±0.052,0.12±0.017,11.35±0.36,1.01±0.03,0.23±0.023,1.61±0.22,90.87±4.80,,54±7.37,0.009±0.003,0.92±0.08,3.44±0.36,0.003±0.002,197±15.5,1.37±0.00,391±13.0,679±48.9,12.21±0.47,3.18±0.14,10.19±0.52,0.60±0.30,0.25±0.04,3.57±0.40,4.42±0.51
,H013,Mustard seeds (Brassica juncea),5.67±0.48,19.51±0.23,40.19±0.21,14.10±0.66,16.80±0.71,2132±16,0.55±0.065,0.33±0.010,3.80±0.41,0.48±0.04,0.24±0.019,1.45±0.36,94.88±4.67,5.84±1.58,402±54.0,0.019±0.010,0.69±0.15,13.49±2.95,0.008±0.004,266±47.3,,715±82.1,694±112,3.97±1.01,4.03±0.26,9.05±0.80,1.13±0.46,1.40±0.42,2.55±0.56,5.07±0.72
,H014,Linseeds (Linum usitatissimum),5.48±0.28,18.55±0.15,35.67±0.70,26.17±0.39,10.99±0.86,1857±16,0.28±0.018,0.05±0.001,1.09±0.05,0.37±0.03,0.35±0.020,21.25±0.49,86.50±2.75,8.25±3.18,257±14.0,0.033±0.014,1.34±0.09,5.44±0.69,0.004±0.002,349±19.8,,445±20.1,655±45.6,32.93±6.45,4.86±0.25,7.55±0.13,0.20±0.02,0.40±0.05,,0.60±0.04
,H015,"Niger seeds, black (Guizotia abyssinica)",4.65±0.59,18.92±1.61,38.61±0.41,10.93±0.05,22.98±2.64,2144±11,0.46±0.043,0.23±0.031,1.14±0.09,0.49±0.03,0.45±0.061,2.37±0.11,140±29.3,3.35±0.16,572±37.1,0.011±0.004,1.20±0.04,18.19±0.22,0.004±0.003,346±41.0,,461±9.5,716±70.6,10.70±1.79,4.98±0.77,15.01±0.82,1.34±0.12,0.31±0.02,0.10±0.01,1.75±0.11
,H016,"Niger seeds, gray (Guizotia abyssinica)",5.66±0.29,18.34±2.11,39.53±0.26,10.96±0.14,20.59±1.85,2128±6,0.38±0.064,0.35±0.042,0.88±0.15,0.46±0.03,0.34±0.025,2.40±0.29,73.13±4.56,3.02±0.38,375±58.1,0.017±0.005,1.37±0.15,19.61±5.77,0.008±0.008,379±69.3,,474±93.5,874±11.4,8.08±0.18,3.62±0.82,16.34±0.20,0.11±0.01,0.20±0.03,0.10±0.10,0.41±0.08
,H017,Pine seed (Pinus gerardiana),5.32±0.15,12.55±0.25,48.79±0.10,3.79±0.03,26.77±0.35,2486±3,0.36±0.051,0.08±0.004,3.52±0.05,0.50±0.03,0.11±0.004,18.46±0.62,31.64±2.70,7.00±1.48,17±1.27,0.001±0.001,1.17±0.07,4.50±1.03,0.004±0.002,268±18.7,,618±39.7,686±69.0,1.31±0.04,4.18±0.04,17.93±0.44,1.55±0.17,1.00±0.02,2.12±0.07,4.67±0.14
,H018,Pistachio nuts (Pistacla vera),4.68±0.22,23.35±0.35,42.49±0.34,10.64±0.16,15.82±0.52,2257±10,0.98±0.144,0.04±0.002,0.86±0.01,0.58±0.03,0.96±0.029,11.82±2.20,64.90±7.22,3.09±0.56,135±22.4,0.001±0.000,0.89±0.05,4.50±0.63,0.014±0.007,149±3.0,0.65±0.33,537±9.2,1053±11.7,6.93±1.84,2.42±0.14,6.65±0.33,4.11±0.02,2.65±0.16,1.15±0.03,7.90±0.19
,H019,Safflower seeds (Carthamus tinctorius),5.24±0.16,17.66±0.54,30.87±0.98,13.49±0.45,30.18±1.20,1981±20,0.85±0.019,0.15±0.006,1.12±0.02,0.89±0.05,0.93±0.072,17.37±2.17,82.41±1.80,1.19±0.21,211±14.5,0.003±0.001,0.56±0.13,4.06±0.42,0.032±0.044,321±49.5,0.36±0.10,644±56.5,550±64.3,3.05±0.91,3.90±0.76,25.48±0.76,0.80±0.02,0.52±0.07,1.35±0.06,2.67±0.11
,H020,Sunflower seeds (Helianthus annuus),3.53±0.29,23.53±0.56,51.85±0.07,10.80±0.13,6.85±0.99,2453±8,0.59±0.064,0.13±0.027,1.60±0.27,0.97±0.05,0.94±0.150,2.44±0.18,81.79±21.37,,176±27.0,0.021±0.001,2.78±0.99,5.85±1.09,0.009±0.003,413±33.5,,752±118,559±8.0,1.90±0.44,7.07±0.52,3.97±0.45,0.74±0.08,0.60±0.02,1.48±0.15,2.81±0.13
,H021,Walnut (Juglans regia),3.56±0.22,14.92±0.62,64.27±0.05,5.39±0.19,10.14±0.69,2809±3,0.40±0.020,0.12±0.006,0.86±0.03,0.84±0.03,0.80±0.072,13.05±1.48,57.95±9.72,0.46±0.52,105±5.9,0.009±0.003,1.52±0.33,3.21±0.17,0.015±0.012,180±16.2,,400±43.0,457±33.2,1.33±0.56,2.94±0.25,6.63±0.34,1.10±0.02,0.36±0.03,1.76±0.10,3.22±0.08
I SUGARS,I001,"Jaggery, cane (Saccharum officinarum)",11.20±0.49,1.85±0.19,0.16±0.02,,84.87±0.63,1480±9,0.04±0.006,0.01±0.000,0.02±0.00,0.23±0.01,0.71±0.084,0.58±0.06,14.40±2.40,,107±19.7,0.006±0.004,0.07±0.04,4.63±1.23,0.008±0.002,115±27.9,,74.53±12.20,488±103,25.38±7.47,0.45±0.22,,22.31±1.92,3.79±0.79,58.23±1.21,84.32±3.22
,I002,"Sugarcane, juice (Saccharum officinarum)",85.54±0.99,0.16±0.03,0.40±0.05,0.56±0.09,13.11±0.93,242±18,0.03±0.003,0.04±0.004,0.14±0.02,0.07±0.01,0.40±0.089,0.59±0.06,44.53±4.14,,18±4.07,0.001±0.000,0.03±0.01,1.12±0.27,0.001±0.001,13.03±6.37,,22.08±5.08,150±47.2,1.16±0.28,0.14±0.07,,0.55±0.22,2.27±0.49,10.03±0.33,12.85±0.80
J MUSHROOMS,J001,"Button mushroom, fresh (Agaricus sp.)",90.09,3.68,0.42,3.11,1.98,115,0.01,0.03,0.68,0.43,0.12,9.23,8.28,0.15,18.38,0.001,0.09,0.29,1.725,18.3,,87.11,318,7.72,0.17,0.7,0.1,,,0.1
,J002,"Chicken mushroom, fresh (Lactiporus sp.)",92.43,1.84,0.25,1.99,2.76,89,0.37,0.06,1.45,1.48,0.11,8.94,11.13,,4.83,,0.42,0.3,,10.78,,79.74,340,10.22,0.55,1.86,0.1,,,0.1
,J003,"Shiitake mushroom, fresh (Lentinula sp.)",82.94,3.19,0.76,3.02,8.98,243,0.05,0.16,1.92,2.04,0.45,10.6,10.92,2.54,5.3,0.001,0.23,1.93,1.666,24.47,0.15,96.36,323,9.3,1.21,4.31,0.2,,,0.2
,J004,"Oyster mushroom, dried (Pleurotus sp.)",4.51,19.04,2.86,39.12,33.07,1019,0.24,0.17,3.77,2.33,0.85,22.51,10.4,1.95,23.61,0.003,0.9,3.58,9.301,136,5.01,702,350,8.67,8.67,21.32,0.68,,,0.68
K MISCELLANEOUS FOODS,K001,Toddy,93.86±0.59,0.18±0.05,0.03±0.01,,5.72±0.55,101±10,0.01±0.002,0.27±0.048,0.35±0.05,0.08±0.02,0.03±0.014,1.96±0.28,0.73±0.11,,0.44±0.25,,0.02±0.01,0.42±0.13,,3.99±0.64 ,,5.82±1.31 ,83.54±17.52 ,1.64±0.45 ,0.01±0.01,,5.73±0.17 ,,,5.73±0.17
,K002,Coconut Water,95.77±0.42,0.26±0.04,0.16±0.02,,3.16±0.39,64±7,0.01±0.000,0.01±0.000,0.04±0.01,0.26±0.02,0.06±0.006,0.21±0.02,10.88±1.86,,27.47±4.28,,0.02±0.01,0.06±0.01,0.003±0.003,18.19±6.03,,18.05±7.06,215±40.0,28.09±4.41,0.04±0.01,,3.06±0.07,,,3.06±0.07
L MILK AND MILK PRODUCTS,L001,"Milk, whole, Buffalo",80.68±0.66,3.68±0.13,6.58±0.20,,8.39±0.71,449±9,0.05±0.006,0.13±0.031,0.07±0.01,0.38±0.03,0.04±0.004,2.16±0.19,8.57±0.44,,121±3.0,0.005±0.001,0.03±0.01,0.16±0.02,0.005±0.002,10.05±1.46,,86.94±6.27,109±5.6,30.10±2.98,0.30±0.05,,0.24±0.05 ,0.39±0.04 ,0.59±0.06 ,5.34±0.16
,L002,"Milk, whole, Cow",86.64±1.10,3.26±0.06,4.48±0.29,,4.94±1.02,305±23,0.03±0.006,0.11±0.019,0.08±0.01,0.34±0.01,0.04±0.007,1.98±0.13,7.03±0.39,,118±2.9,0.004±0.001,0.03±0.01,0.15±0.02,0.002±0.001,8.28±1.38,,96.56±9.10,115±4.1,25.46±2.86,0.33±0.03,,0.20±0.04,0.18±0.04,0.24±0.03,4.89±0.14
,L003,Panner,51.96±0.76,18.86±0.75,14.78±0.17,,12.41±0.12,1079±13,0.02±0.000,0.10±0.019,0.13±0.03,0.49±0.01,0.04±0.006,21.04±0.57,93.31±14.37,,476±35.7,0.001±0.001,0.10±0.05,0.90±0.24,,26.62±1.87,,330±34.6,63.53±9.96,18.04±1.25,2.74±0.14,,0.50±0.03,1.11±0.24,0.84±0.08,11.57±0.28
,L004,"Cheese, cottage, creamed, with fruit",,10.69,3.85,,4.61,405.848,0.033,0.142,0.15,,0.068,,,,53,,0.00004,0.16,,7,,113,,,0.33,,,,,
,L005,"Cheese, pasteurized process, pimento",,22.13,31.2,,1.73,1569,0.027,0.354,0.078,,0.071,,,,614,,0.000033,0.42,,22,,744,,,2.98,,,,,
,L006,"Cream, fluid, half and half",,2.96,11.5,,4.3,543.92,0.035,0.149,0.078,,0.039,,,,105,,0.00001,0.07,,10,,95,,,0.51,,,,,
,L007,"Cream, fluid, light (coffee cream or table cream)",,2.7,19.31,,3.66,815.88,0.032,0.148,0.057,,0.032,,,,96,,0.000008,0.04,,9,,80,,,0.27,,,,,
,L008,"Cream, fluid, light whipping",,2.17,30.91,,2.96,1221.728,0.024,0.125,0.042,,0.028,,,,69,,0.000007,0.03,,7,,61,,,0.25,,,,,
,L009,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",,5.25,1.55,,7.04,263.592,0.044,0.214,0.114,,0.049,,,,183,,0.000013,0.08,,17,,144,,,0.89,,,,,
,L010,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce",,4.93,1.25,,13.8,355.64,0.042,0.201,0.107,,0.045,,,,171,,0.000013,0.07,,16,,135,,,0.83,,,,,
,L011,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",,3.98,1.15,,18.64,414.216,0.034,0.162,0.086,,0.037,,,,138,,0.000079,0.06,,13,,109,,,0.67,,,,,
,L012,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",,4.37,1.08,,19.05,426.768,0.037,0.178,0.095,,0.04,,,,152,,0.00008,0.07,,15,,119,,,0.74,,,,,
,L014,Khoa,42.51±0.21,16.34±0.61,20.62±0.83,,16.53±1.26,1322±14,0.11±0.013,0.11±0.005,0.43±0.03,0.33±0.01,0.06±0.006,20.39±0.86,94.25±8.57,2.89±0.95,602±79.7,,0.07±0.09,2.32±0.36,0.010±0.003,58.53±6.04,,476±47.4,536±24.3,48.10±10.89,2.34±0.15,,0.80±0.04,1.57±0.34,0.91±0.04,16.14±1.11
M EGG AND EGG PRODUCTS,M001,"Egg, poultry, whole, raw",76.51±0.20,13.28±0.29,9.15±0.14,,,564±3,0.06±0.01,0.19±0.01,0.11±0.01,1.47±0.04,0.16±0.02,18.24±1.33,49.32±2.35,,49.44±8.99,,0.07±0.01,1.82±0.40,,12.01±0.50,,185±2.8,138±7.1,123±6.2,1.23±0.31,,,,,
,M002,"Egg, poultry, white, raw",86.68±0.11,10.84±0.07,0.06±0.01,,,187±1,0.02±0.01,0.16±0.01,0.01±0.00,1.35±0.17,4.36±0.84,,4.96±0.39,,5.64±0.95,,0.03±0.00,0.07±0.05,,11.42±1.07,,15.81±2.31,152±3.9,166±1.9,0.03±0.01,,,,,
,M003,"Egg, poultry, yolk, raw",53.57±0.40,15.74±0.33,26.34±0.17,,,1242±9,0.11±0.01,0.16±0.01,0.69±0.03,2.78±0.05,0.29±0.02,65.22±5.01,112±6.1,,116±10.0,,0.10±0.01,3.17±0.34,,13.17±0.30,,549±18.2,118±7.7,46.33±2.16,1.64±0.32,,,,,
,M004,"Egg, poultry, whole, boiled",73.46±0.22,13.43±0.28,10.54±0.19,,,618±6,0.06±0.01,0.18±0.01,0.21±0.01,1.42±0.03,0.14±0.01,15.36±1.41,48.25±2.37,,55.12±3.14,,0.07±0.02,1.87±0.16,,13.76±0.25,,209±16.3,127±1.4,121±2.8,1.31±0.11,,,,,
